customer_id,full_name,email,phone,city,country,date_of_birth,registered
85,Guenter Seifert B.Sc.,dittmar83@example.org,239-583-7354,Suhl,Germany,2006-04-13,yes
86,Nicole Rocha,jherman@example.com,+49(0)4587 71753,Mühldorf am Inn,Germany,1971-11-16,YES
87,Connie Thomas,jhuebel@example.org,485.247.7725x2287,Konstanz,Germany,1999-10-06,No
88,Mary Duran,mercedesschuchhardt@example.org,00997700886,North Jeffery,Germany,1956-03-05,Yes
89,Albina Paffrath,ekkeharddietz@example.net,04615679334,East Christine,U.S.A.,1989-12-09,YES
90,JAMES TRAN,warnerchristopher@example.com,239.474.0148,pegnitz,Germany,14/02/1956,Yes
91,Nicole Marquez,jacobgotthilf@example.net,0218501631,Rhodesside,Germany,1987.05.14,No
92,Almut Schulz,onoack@example.com,+49(0)9431 142626,Erding,USA,1974-05-29,No
93,Eric Ward,eigenwilligdieter@example.org,+49(0)0158 199560,Ravensburg,United States,1977-03-22,no
94,Kristin Haney,ginajackson@example.com,626-546-4715,Niesky,USA,1986-10-06,yes
95,Chad Smith,melitta96@example.com,759-837-5265x4793,Malchin,United States,1998-07-26,YES
96,Beatrix Rose,erinpierceexample.net,+49(0)6724 342661,Mayen,U.S.A.,2007-10-19,yes
97,Kathi Patberg-Süßebier,zobelwendelin@example.com,+1-590-996-5610x1438,Port Johnstad,U.S.A.,1976-01-08,No
98,Alexander Garcia,drubmarleen@example.net,375.471.7751x40105,Larrymouth,USA,1982.08.22,yes
99,Jeffery Murray,hans-gerhardschwital@example.net,496.760.3341x918,Augsburg,DE,1965-09-26,no
100,Scott Rose  ,zschmidt@example.net,+1-849-891-2513x41252,Michaelmouth,Germany,03/10/1985,yes
101,Dipl.-Ing. Manuel Renner,tracytaylor@example.com,323.268.8767x6772,Kaiserslautern,Germany,1970-10-09,No
102,Prof. Friedrich-Karl Geisler MBA.,ruppersbergerercan@example.com,03613 40745,Zeulenroda,Germany,1978-07-24,Yes
103,Cynthia Cochran,ngehringer@example.org,04982 54494,Port Brian,U.S.A.,1962-06-23,no
104,Frederik Sölzer,johndawson@example.org,(06671) 16845,Diepholz,Germany,2005-08-27,Yes
105,SYLVESTER WOHLGEMUT,sreid@example.com,345.945.8929x7500,Robinsonchester,United States,1961.11.16,No
106,Aaron Rubio,nicoleturner@example.com,9643361103,Johnstad,Germany,1986-10-04,No
107,Adam Textor,loechelhenri@example.org,+49(0)1155 426221,Geldern,us,1987-08-22,Yes
108,Nathan Fuller,cjensenexample.org,06523413899,east karenshire,Germany,1996-07-30,Yes
109,Mary Turner,dphillips@example.org,491.980.5526x9658,Calw,DE,1956-03-05,YES
110,Daniel Livingston,ester86@example.com,614-818-3285x691,Soltau,us,12/05/1958,YES
111,Audrey Salazar,elizabeth21@example.org,+49 (0) 5241 056481,East Tylerstad,us,1993-01-16,No
112,Jorge Brown PhD,eric19@example.net,8305756220,Lake William,us,1968.06.13,yes
113,Sabina Buchholz,paffrathgunda@example.org,(617)544-5187x0534,Port Zachary,U.S.A.,1974-10-23,Yes
114,Pasquale Ritter B.A.,randolphandrew@example.net,001-564-813-8367x02410,Hoyerswerda,USA,1979-08-04,YES
115,Kathy Walsh,scheelcaterina@example.org,+49(0)5655 74313,Germersheim,USA,1996-08-17,No
116,Christopher Owens,reisingorhan@example.org,+49(0)1249 035213,Monschau,Germany,1976-04-16,Yes
117,Debbie Ewing,jbond@example.net,6033236519,South Curtisberg,Germany,2008-02-22,Yes
118,Jill Anderson,bergertheres@example.com,00662 532447,New Ryan,USA,1957-02-15,yes
119,Kathleen Andrade,christophkarl-hermann@example.com,+1-680-465-7875x9856,Gonzalezhaven,DE,1972.03.11,yes
120,ROBERT CAMPBELL  ,krista93example.org,001-439-565-2239x55905,Lake John,U.S.A.,09/01/1984,yes
121,Brandon Hall II,kabussina@example.net,+49(0)0292185156,West Jennifer,USA,1973-02-16,YES
122,Zoran Franke-Wagenknecht,useip@example.org,(544)322-0969x0295,Stollberg,USA,1962-09-29,No
123,William Jackson,sean43@example.org,8673626765,Jonathanville,U.S.A.,1997-02-04,YES
124,Benjamin Singleton,junckenjohannes@example.org,001-418-215-9970x6296,Georgefurt,DE,1972-11-02,no
125,Julian Frost,konstantinos31@example.org,(606)314-9731x032,Döbeln,U.S.A.,2000-01-05,No
126,Isabell Niemeier-Speer,segebahnbeate@example.com,304.777.4349x021,nicolestad,U.S.A.,2006.09.27,No
127,Sara Cardenas,pruppersberger@example.com,898.399.2172x23320,Lemgo,Germany,1965-12-28,no
128,Deanna Bartlett,hughesray@example.com,+49(0)6229 991191,Anklam,U.S.A.,2001-04-08,no
129,Ing. Hannchen Sölzer,lbender@example.com,+49(0)6530745054,Schwarzenberg,Germany,1970-02-24,no
130,Zeljko Heidrich,terri75@example.com,+49(0) 678508214,Erfurt,U.S.A.,25/06/1962,yes
131,Shaun Gonzalez,antoniowilliams@example.com,(01035) 79727,Michealmouth,USA,1973-07-15,no
132,Friedhelm Baum,froehlichmonjaexample.net,668-600-7229x034,Lake Jeffrey,United States,2002-10-02,no
133,Elisa Harloff MBA.,gsauer@example.org,815.745.4443x2830,Hammelburg,us,1993.07.09,no
134,Ellen Lindner,cwalter@example.net,(05842) 82417,Jessicabury,Germany,1994-07-24,yes
135,STEPHANIE PENA,jeffrey46@example.com,01709 991738,Rothenburg ob der Tauber,DE,2001-04-08,yes
136,Henrike Bloch,victoriacooper@example.net,001-917-352-5007x43292,Herford,USA,1987-11-10,no
137,Hubertine Müller-Kraus,fergusonjessica@example.org,+1-233-654-2168x9421,Arnstadt,DE,1979-06-16,YES
138,Univ.Prof. Bozena Karz,karolin32@example.com,609.282.1506,East Jessica,Germany,1990-05-18,yes
139,Brian Wallace,thomas23@example.net,(09261) 891411,Robertville,U.S.A.,1965-10-26,Yes
140,Sandra Dudley  ,khuebel@example.org,03001197218,Tuttlingen,U.S.A.,22/08/1993,No
141,Maria Bryant,vitali01@example.org,+49(0)1002 255794,Michaelmouth,us,1975-01-15,Yes
142,Herr Hans-Wilhelm Kuhl,martine67@example.com,769-279-7296,East Heatherton,us,1980-11-22,Yes
143,Tibor Langern,bolnbachjohn@example.net,+1-258-289-1637x56289,Vilsbiburg,United States,1982-02-01,no
144,Dr. Anneli Weitzel MBA.,maximholstenexample.org,879.871.7751x701,powellbury,U.S.A.,1984-10-26,yes
145,Rebecca Richmond,geraldinesteckel@example.com,758.799.7571x130,Bamberg,us,1984-04-26,No
146,Anatoli Gehringer,marietrupp@example.net,216.337.3516,Greiz,USA,1979-07-14,yes
147,April Fitzgerald,xpechel@example.org,06693 46547,North Paul,DE,1962.08.13,No
148,Mia Walter,jasonklein@example.net,385.215.8799x68460,Wanzleben,Germany,1962-12-29,yes
149,Paul Martin,gabor04@example.org,001-286-638-4066x6580,Lisaville,USA,1988-03-07,Yes
150,UNIV.PROF. NIKOLAJ TRÖST B.ENG.,kellythompson@example.net,(406)248-4229x4057,East Jill,U.S.A.,05/07/2004,no
6,Katherine Rodriguez,igor03@example.net,(578)624-8963,Lake Toddland,USA,2008-01-14,No
23,Tanya Johnston,mtrubin@example.org,(786)951-8506x716,Lake Kendraville,United States,1978-05-16,YES
41,Brandy Chavez,reinhildeliebelt@example.net,001-853-677-3515x850,Gilbertview,United States,2006-08-10,Yes
